          105.458941  -6.064416 -14.574698  -0.117333
          105.558967  -6.095403 -14.626292  -0.116336
          105.659172  -6.119203 -14.680642  -0.136365
          105.759255  -6.133374 -14.736408  -0.156442
          105.859224  -6.142344 -14.779746  -0.165110
          105.964289  -6.162146 -14.813353  -0.168206
          106.064384  -6.176320 -14.850141  -0.145044
          106.164238  -6.191931 -14.880516  -0.126574
          106.264404  -6.212170 -14.910522  -0.141723
          106.364362  -6.240283 -14.948317  -0.130871
          106.464451  -6.261829 -14.984817  -0.124785
          106.564345  -6.272929 -15.025463  -0.096154
          106.664382  -6.301061 -15.072400  -0.091325
          106.764338  -6.330103 -15.124890  -0.100469
          106.869621  -6.349994 -15.169657  -0.114086
          106.969436  -6.381295 -15.208899  -0.120067
          107.069324  -6.389571 -15.251477  -0.131761
          107.169605  -6.424176 -15.278772  -0.138011
          107.269495  -6.448566 -15.304042  -0.144977
          107.369338  -6.477144 -15.330160  -0.129946
          107.469140  -6.510787 -15.371221  -0.133817
          107.569298  -6.539780 -15.411751  -0.153122
          107.674346  -6.587675 -15.453171  -0.153497
          107.774375  -6.597936 -15.486508  -0.155933
          107.874404  -6.606865 -15.502780  -0.170684
          107.974304  -6.640956 -15.546296  -0.173142
          108.079489  -6.669425 -15.584692  -0.166922
          108.174335  -6.691463 -15.630955  -0.182030
          108.274331  -6.709244 -15.646755  -0.192543
          108.373954  -6.727943 -15.710911  -0.171027
          108.474280  -6.757150 -15.779765  -0.149513
          108.579296  -6.765950 -15.826519  -0.138543
          108.679363  -6.772804 -15.869718  -0.142083
          108.779337  -6.781881 -15.909946  -0.137497
          108.879056  -6.798482 -15.950889  -0.143162
          108.979332  -6.806939 -15.965940  -0.147356
          109.079464  -6.837591 -16.017728  -0.149730
          109.179317  -6.858295 -16.048300  -0.154899
          109.279155  -6.900655 -16.104214  -0.141360
          109.379382  -6.930057 -16.142110  -0.170517
          109.484619  -6.947954 -16.185905  -0.170040
          109.584345  -6.970400 -16.215321  -0.170650
          109.684468  -6.996264 -16.249561  -0.157109
          109.784591  -7.005165 -16.299362  -0.144007
          109.884327  -7.027243 -16.347767  -0.120284
